product_norm,period_start,period_end,cheapest_branch,cheapest_price,num_branches_compared
RAÇÃO P/ CÃES ADULTOS TORO 15KG,06.10,12.10,BRUMADO,79.80,2
"RAÇÃO P/ CÃES ADULTOS TUTTICANIS 10,1KG",01.12,07.12,CAMPINA GRANDE,48.90,3
"RAÇÃO P/ CÃES ADULTOS TUTTICANIS 10,1KG",03.11,09.11,CAMPINA GRANDE,48.00,2
"RAÇÃO P/ CÃES ADULTOS TUTTICANIS 10,1KG",24.11,30.11,CAMPINA GRANDE,48.20,2
RAÇÃO P/ CÃES ADULTOS TUTTICANIS 14KG,17.11,23.11,CAMPINA GRANDE,68.00,2
"RAÇÃO P/ CÃES VITTAMAX CLASSIC 2,3KG",06.10,12.10,CAMPINA GRANDE,19.80,2
SABÃO EM BARRA NEUTRO GLICERINADO YPÊ 160G C/ 5,03.11,06.11,BRUMADO,9.50,2
SALSICHA P/ HOT DOG BOM TODO KG,01.12,07.12,JUAZEIRO DO NORTE,5.80,3
SALSICHA P/ HOT DOG BOM TODO KG,03.11,09.11,CAMPINA GRANDE,6.80,2
SALSICHA P/ HOT DOG BOM TODO KG,10.11,16.11,CAMPINA GRANDE,6.80,2
SALSICHA P/ HOT DOG BOM TODO KG,17.11,23.11,CAMPINA GRANDE,6.80,2
SALSICHA P/ HOT DOG BOM TODO KG,24.11,30.11,CAMPINA GRANDE,6.80,2
SALSICHA P/ HOT DOG MAURICÉA KG,03.11,06.11,BRUMADO,6.00,2
SALSICHA P/ HOT DOG MAURICÉA KG,29.09,05.10,BRUMADO,74.00,2
SARDINHA PALMEIRA 1259,01.12,07.12,JUAZEIRO DO NORTE,3.80,3
SARDINHA PALMEIRA 1259,03.11,09.11,JUAZEIRO DO NORTE,3.48,3
SARDINHA PALMEIRA 1259,17.11,23.11,JUAZEIRO DO NORTE,3.80,3
SARDINHA PALMEIRA 1259,24.11,30.11,CAMPINA GRANDE,4.58,2
VENTILADOR ELGIN 40CM C/ 7 PÁS 220V,29.09,05.10,VITÓRIA DA CONQUISTA,138.00,2
ÁGUA MINERAL S/ GÁS AGUAS DO PORTO 510ML,03.11,06.11,BRUMADO,0.78,2
