product_norm,branch,period_start,period_end,num_occurrences,price_mean,price_min,price_max
CARRÉ SUÍNO CONGELADO KG,CAMPINA GRANDE,24.11,30.11,1,16.80,16.80,16.80
CARRÉ SUÍNO CONGELADO KG,JOÃO PESSOA,01.12,07.12,1,16.80,16.80,16.80
CARRÉ SUÍNO CONGELADO KG,JOÃO PESSOA,03.11,09.11,1,17.80,17.80,17.80
CARRÉ SUÍNO CONGELADO KG,JOÃO PESSOA,06.10,12.10,1,17.90,17.90,17.90
CARRÉ SUÍNO CONGELADO KG,JOÃO PESSOA,10.11,16.11,1,16.80,16.80,16.80
CARRÉ SUÍNO CONGELADO KG,JOÃO PESSOA,17.11,23.11,1,16.90,16.90,16.90
CARRÉ SUÍNO CONGELADO KG,JOÃO PESSOA,24.11,30.11,1,16.80,16.80,16.80
CARRÉ SUÍNO CONGELADO KG,JUAZEIRO DO NORTE,01.12,07.12,1,14.80,14.80,14.80
CARRÉ SUÍNO CONGELADO KG,JUAZEIRO DO NORTE,03.11,09.11,1,15.80,15.80,15.80
CARRÉ SUÍNO CONGELADO KG,JUAZEIRO DO NORTE,06.10,12.10,1,15.80,15.80,15.80
CARRÉ SUÍNO CONGELADO KG,JUAZEIRO DO NORTE,10.11,16.11,1,14.80,14.80,14.80
CARRÉ SUÍNO CONGELADO KG,JUAZEIRO DO NORTE,17.11,23.11,1,14.80,14.80,14.80
CARRÉ SUÍNO CONGELADO KG,JUAZEIRO DO NORTE,24.11,30.11,1,14.00,14.00,14.00
CARRÉ SUÍNO CONGELADO KG,VITÓRIA DA CONQUISTA,06.10,12.10,1,17.90,17.90,17.90
CARRÉ SUÍNO CONGELADO KG,VITÓRIA DA CONQUISTA,29.09,05.10,1,17.80,17.80,17.80
